COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
PE,Lima,San isidro,Wealthy,Prioritized,Gross Profit UE,3.529368325,3.226593817,3.131531571,3.338740614,3.213816112,3.080702388,3.1622027,3.307615504,2.553866403
BR,Grande São Paulo,Jardins/Pinheiros,Wealthy,High Priority,Gross Profit UE,3.222208798,3.507246252,3.684770266,3.779976967,4.152672654,4.752892132,5.14285036,5.083974125,4.433186376
PE,Lima,Monterrico,Wealthy,Prioritized,Gross Profit UE,3.367031366,3.028711214,2.911375538,3.04532656,2.877522425,2.779946014,2.866133003,2.965887816,2.051294376
PE,Huancayo,Huancayo centro,Non Wealthy,Prioritized,Gross Profit UE,0.5928346656,0.1835021578,0.4140835217,0.579753566,-0.1708014439,-0.5201469287,-0.1807042477,-0.4894801305,-1.468467712
MX,Salamanca,Salamanca,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8086926151,0.8172012393,0.8276845033,0.8339094372,0.8306944695,0.8091668969,0.8341786019,0.8458784583,0.8530301522
MX,Dolores Hidalgo,DLH Dolores Hidalgo,Non Wealthy,Not Prioritized,Gross Profit UE,3.663678208,3.543181024,3.906404063,4.136748466,1.736697895,-3.915241727,-0.4202723506,-1.023579302,0.6315833244
PE,Chimbote,Bellamar,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.7677796731,0.7687420043,0.7934186212,0.8249859944,0.8394802365,0.791927763,0.8496777918,0.855869379,0.8707836554
AR,Buenos Aires,Lomas de Zamora - Banfield,Wealthy,High Priority,Retail SST > SS CVR,0.9143469535,0.9125795841,0.9120845099,0.9145415826,0.9163172916,0.9172992184,0.9196492367,0.9143667145,0.9099537865
CL,Rancagua,Rancagua Centro,Non Wealthy,Prioritized,Gross Profit UE,-3.279334028,-3.25684415,-4.487687962,-4.870240593,-4.859470886,-5.218121244,-4.997562508,-4.053829117,-4.582923102
CO,Cartago,Cartago,Non Wealthy,Not Prioritized,Gross Profit UE,2.227527746,2.195604474,2.222639111,2.404277659,2.506709583,2.634883913,2.961832812,3.036378801,2.990579121
BR,Grande São Paulo,SP - SP - Vila Medeiros/Vila Maria,Non Wealthy,Not Prioritized,Gross Profit UE,-1.627764556,-1.505063954,-1.233503452,-1.281293684,-1.153446472,-0.4187846074,-0.03094595678,0.2347667531,-0.1091207272
CL,Santiago De Chile,Población San Joaquin,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8257004015,0.8271496189,0.8232527466,0.7934457036,0.7743302005,0.7765567708,0.7757624581,0.7860356035,0.7604780589
CO,Barranquilla,Barranquilla sur,Non Wealthy,Prioritized,Gross Profit UE,1.251612128,1.202868882,1.390384363,1.653415954,1.942460681,2.259881444,2.356525158,2.39595629,2.159951873
MX,Aguascalientes,AGS_Jesus Maria,Non Wealthy,Prioritized,Gross Profit UE,-0.05603701161,-0.4376125866,0.1585328261,0.6642016725,1.070590783,1.53398213,1.501121553,1.592714195,1.457452587
MX,Ciudad Guzman,CDG La Hacienda,Non Wealthy,Not Prioritized,Gross Profit UE,-19.14756226,-20.20953715,-16.63593792,-10.72665138,-9.545081306,-9.5526461,-8.892728242,-9.453919741,-13.6403123
CO,Santa Marta,Centro,Non Wealthy,Prioritized,Retail SST > SS CVR,0.9170248298,0.9193677205,0.9203095949,0.9200361113,0.9206108561,0.9317177494,0.9386344878,0.9482086802,0.9531014153
AR,Cordoba,Villa Adela,Wealthy,Prioritized,Gross Profit UE,0.204429813,-0.2265307149,-0.1725205931,0.0519483821,0.3686156994,-0.1652419729,-0.3692683305,0.204149023,-0.2191704946
CO,Chia,Chia,Non Wealthy,Prioritized,Gross Profit UE,3.020220745,3.100743723,3.16765609,3.205144282,3.244575053,3.333042952,3.421429718,3.513149516,3.099014447
MX,Cuautla,Cuautla,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8753085558,0.8827430581,0.8821147316,0.8831336484,0.8882710503,0.8837864981,0.8905509847,0.8922817332,0.8872995341
AR,San Rafael,SAN_RAFAEL,Non Wealthy,Not Prioritized,Gross Profit UE,-2.395410372,-2.18316131,-2.072861552,-2.006546742,-1.869091262,-2.560774907,-2.236756268,-1.40526719,-0.8623109968
BR,Londrina,Cinco Conjuntos,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0.2127731092,0.4971428571,0.3285714286,0.2,0.4,0.3583333333,0.49,0.5502380952,0.5914285714
MX,Ciudad Valles,VALL Sur,Non Wealthy,Not Prioritized,Gross Profit UE,1.203055126,-0.1788201815,-0.6985604227,1.222857102,-2.897550052,-0.7374045319,3.237111312,3.528101902,3.309378477
BR,Maringa,MP Jardim Aclimação/Vila Bosque/Vila Marumby/Chácara Paulista MGF,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.5333333333,0.36,0.4866666667,0.3,0.1333333333,0.06666666667,0,0,0
BR,Grande São Paulo,SP - SP - Tremembe,Non Wealthy,Not Prioritized,Gross Profit UE,-2.01873266,-1.966478781,-2.721042603,-2.957242499,-2.48341662,-1.765754194,-0.7099101041,-0.9356364395,-0.8770946859
MX,Campeche,CAMP Centro,Wealthy,Prioritized,Retail SST > SS CVR,0.8958043715,0.9069776085,0.9171277971,0.9269828197,0.9159236612,0.9188459122,0.9201260236,0.9166122545,0.9068072995
CO,Cali,Alfaguara Jamundi,Wealthy,Prioritized,Gross Profit UE,2.054281702,2.093657442,2.342630636,2.193729279,2.378794076,2.728097595,2.850791352,2.922863266,2.787202397
EC,Santa Elena / Salinas / Libertad,Salinas,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8860232671,0.8937269664,0.9008186208,0.9149717022,0.9180603256,0.9280435933,0.8916067785,0.8640555642,0.8637092614
BR,Recife,PE - REC - Estância/Jiquiá,Non Wealthy,Not Prioritized,Gross Profit UE,-2.003611982,-1.857381553,-2.266482943,-2.297049386,-2.399125852,-1.840635272,-0.6557709126,-0.2063980703,-0.9489654164
CL,Santiago De Chile,Santiago_centro,Non Wealthy,High Priority,Gross Profit UE,1.592870336,1.404146036,0.89737975,1.330796272,1.749766798,1.774737086,1.84364823,2.585617992,1.901315551
MX,Leon,LEO_Sur,Non Wealthy,Prioritized,Gross Profit UE,-1.576683933,-1.77598777,-2.029567016,-1.385842882,-0.9050594513,-0.9200223797,-0.5758950425,0.3006355823,0.2569967309
AR,Buenos Aires,ESCOBAR,Non Wealthy,Prioritized,Retail SST > SS CVR,0.6603519062,0.7192668622,0.6941467305,0.5589974937,0.528843262,0.4561249277,0.4394065934,0.4132145749,0.3985263158
MX,Celaya,Celaya,Non Wealthy,Prioritized,Gross Profit UE,1.842742983,1.353689566,0.8513461488,1.283406491,1.747076773,1.328453696,1.442108094,2.269577213,2.193644162
MX,Tulancingo,TGO Jaltepec,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.7716017466,0.7930816482,0.8095700119,0.8190099629,0.8123016272,0.7785090609,0.8023923856,0.8404056698,0.8468247183
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8173145264,0.8291885371,0.8278740053,0.8288395966,0.8319479485,0.8378695739,0.8487659553,0.8502446872,0.8389684982
CO,Santa Marta,ZAZUE ESTE,Non Wealthy,Not Prioritized,Gross Profit UE,-0.4927628996,-0.6571862101,,0.9773501754,,1.080407022,1.066669052,1.165923361,3.117996456
MX,Tuxtla Gutierrez,TUX Teran,Non Wealthy,Prioritized,Gross Profit UE,1.117847769,0.5366981359,0.3076374632,0.6915350241,1.312865049,1.878542196,2.129432804,2.58891551,2.087961656
MX,Tehuacan,Tehuacán,Non Wealthy,Not Prioritized,Gross Profit UE,1.293168604,1.050084691,1.227551095,1.423521843,1.93680545,2.308339136,2.513631828,-2.538684898,-1.227982367
BR,Jundiai,Varzea Paulista,Non Wealthy,Not Prioritized,Gross Profit UE,-3.425708772,0.6751837989,0.3029371006,-0.1191223095,3.805664714,1.434407112,-0.6935593272,-2.005957847,-3.798294592
MX,Reynosa,Rey_benito_juarez,Non Wealthy,Prioritized,Gross Profit UE,1.761674344,1.648163687,1.742104325,2.244822629,2.489997813,2.137905141,2.327721564,2.961460175,2.615137231
MX,Tecate,TCE Santa Anita,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.805907003,0.83105142,0.8060224787,0.7728974825,0.7969332117,0.824657493,0.88434223,0.9231221551,0.8715512029
MX,Ciudad Valles,VALL Centro,Non Wealthy,Not Prioritized,Gross Profit UE,2.248450097,1.387137105,0.4283957371,0.899588305,0.9577188318,-1.533755461,0.2283842186,2.715917536,2.385485005
BR,Brasilia,DF - BSB - Asa Sul/Asa Norte,Wealthy,Not Prioritized,Retail SST > SS CVR,0.9477204867,0.9519769287,0.9502315039,0.9485578544,0.9488141045,0.9468522276,0.9462765034,0.9461625952,0.9431272442
MX,Cuautla,Cuautla,Non Wealthy,Not Prioritized,Gross Profit UE,2.459151106,2.002797001,1.839471795,2.257595507,2.37966007,2.419920265,2.989938431,3.463521349,3.250670092
EC,Guayaquil,Urdesa,Non Wealthy,High Priority,Gross Profit UE,1.505651875,1.35414783,1.146448476,0.8933976994,0.8587970258,0.9548037985,1.036408715,1.129606177,1.833687943
PE,Arequipa,Misti Norte,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8130755354,0.8300222819,0.823168748,0.8212869414,0.8263398877,0.8203983775,0.8317578253,0.8401695004,0.8361715844
AR,San Salvador De Jujuy,JUJUY,Non Wealthy,Not Prioritized,Gross Profit UE,-1.343838424,-1.253809465,-0.9124369164,-0.8292001339,-0.2887791353,-0.1512781067,-0.3981603396,-0.3867871655,-0.6709513144
AR,Cordoba,CORDOBA_COLON,Non Wealthy,Prioritized,Gross Profit UE,0.2909823548,0.1177393165,-0.1215910396,0.007004849975,0.1576397201,-0.4435900651,-0.3729380803,0.1338969506,-0.6523802636
CL,Melipilla,Melipilla centro,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0,0,0,0,0,0,0,0,0
BR,Grande São Paulo,SP - SP - Tremembe,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9165249234,0.9195442013,0.9344747322,0.9374919089,0.9362727452,0.9424849739,0.9402435931,0.9433552785,0.940260451
BR,Campinas,SP - CPS - Sousas,Non Wealthy,Not Prioritized,Gross Profit UE,-0.5634193181,-2.838587499,-4.804963061,-2.911417434,-0.9383915768,-1.178354939,-2.878918614,-0.1848603998,7.051524846
PE,Lima,Pumacahua,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8349285106,0.8301560733,0.8408470067,0.8427842338,0.8388618788,0.8296646035,0.8406992489,0.8526742865,0.8585743383
AR,La Rioja,LA_RIOJA,Non Wealthy,Not Prioritized,Gross Profit UE,-0.977924155,-0.5021930677,-0.7084968063,-1.014683427,-0.7826200148,-0.4411690841,-0.3066972502,-0.1592783787,-1.115539498
BR,Porto Alegre,RS - POA - Sarandi,Non Wealthy,Not Prioritized,Gross Profit UE,-3.168715741,-2.762246897,-1.369066913,-0.4017802613,-0.9911846846,-0.4806881219,-0.6960520513,-2.119583298,-3.165801593
BR,Londrina,PR - LND - Londrina,Non Wealthy,Not Prioritized,Gross Profit UE,-2.450838701,-2.895660264,-2.867696616,-2.906823582,-2.397830593,-1.961289303,-2.352826672,-2.77293942,-2.574357604
MX,Valle De Bravo,VDB_Valle_De_Bravo,Wealthy,Prioritized,Gross Profit UE,-0.7856893123,-0.6472588818,-0.8230580934,-0.9514433172,-2.56912725,-1.2733172,-7.415062874,-6.63972909,-2.486898499
CL,Santiago De Chile,lo_barnechea,Wealthy,High Priority,Retail SST > SS CVR,0.8656588822,0.8618308156,0.8692784737,0.8678650014,0.8670257498,0.8850414454,0.9019521396,0.9256379956,0.9371515219
BR,Belo Horizonte,MG - BH - Caiçara/Padre Eustáquio/Gameleira,Non Wealthy,Not Prioritized,Gross Profit UE,-0.4451397868,-0.6764713587,-0.7012780001,-0.6819675468,-0.4685150177,-0.260645974,0.06108053791,0.1587577519,-0.9733833973
CR,Cartago,Cartago_Oriental,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8420029683,0.833229792,0.8302067866,0.8188254728,0.7354408749,0.7359848485,0.7545238095,0.7917230576,0.8554887218
BR,Taubate,Taubaté MP,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.3476923077,0.3417948718,0.3025641026,0.1666666667,0.1,0.03333333333,0,0,0
BR,Brasilia,DF - BSB - Águas Claras,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9238411351,0.925702148,0.9222498229,0.9166980855,0.9251237575,0.930161054,0.9349615337,0.9315571246,0.9201057914
BR,Santos,Vilao Sao Jorge,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8278710179,0.8839102564,0.7995138889,0.7286706349,0.7730654762,0.6893170426,0.7685254804,0.777648448,0.7331084121
EC,Cuenca,Batan,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8264614288,0.8626575676,0.8844489328,0.9062051732,0.9131001866,0.8632209598,0.8294401724,0.8584582838,0.8647339203
MX,Poza Rica De Hidalgo,Poza Rica Hidalgo,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8515451166,0.8620025551,0.8726271197,0.8783883712,0.8730620735,0.8707652875,0.8787760278,0.8902990883,0.8858922951
CO,Pereira,Cuba,Non Wealthy,Prioritized,Retail SST > SS CVR,0.932478628,0.9316880238,0.9332296826,0.9329908046,0.9295616594,0.9353800829,0.9365831629,0.942250878,0.9440189104
EC,Manta,Jesus de Nazaret,Non Wealthy,Not Prioritized,Gross Profit UE,0.0994320628,-2.067323677,-1.876484523,-0.07693173608,0.1808289436,0.4938916242,0.2208687074,-4.838011626,-2.964967116
MX,Orizaba,OZA Ciudad Mendoza,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8399600021,0.840118661,0.848415426,0.847650413,0.8295964276,0.8391439546,0.8447941236,0.891135695,0.8978217997
BR,Florianopolis,SC - FLN - Santo Antonio de Lisboa,Non Wealthy,Not Prioritized,Gross Profit UE,,0.6108434886,1.472350535,3.146478427,,,2.137925715,3.74885878,4.654436412
UY,Montevideo,Carrasco,Non Wealthy,Prioritized,Gross Profit UE,0.7972110814,0.07958955243,-0.2649313083,-0.961371974,-1.769292905,0.1037262313,-0.5353583972,0.1513434568,1.080347996
MX,Navojoa,Navojoa,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8839382063,0.8850276646,0.8929485545,0.8935958807,0.9011999246,0.8976496021,0.8992515451,0.912832671,0.9024993631
AR,Buenos Aires,Avellaneda - Sarandi,Non Wealthy,High Priority,Gross Profit UE,-2.606464243,-2.252928825,-1.755015824,-1.357793238,-1.040414667,-0.9591210736,-0.9481103275,-0.5589659537,-1.126024996
EC,Quito,Caupicho,Non Wealthy,Not Prioritized,Gross Profit UE,-1.169884824,-1.752901058,-1.159676739,-1.100409145,-1.386039811,-0.1412645135,-1.003214458,-1.710988737,-0.6792183062
MX,Monterrey,Carretera Nacional,Wealthy,Prioritized,Gross Profit UE,5.228459693,4.933113889,4.780344296,4.837988201,4.51717891,4.568164654,4.719064287,5.232939604,5.425765482
CO,Bogota,Siberia,Non Wealthy,Not Prioritized,Gross Profit UE,-3.104921107,-3.285383463,0.3298630428,1.601879899,1.267221754,1.227008005,1.769061024,2.376049242,2.256139233
BR,Belo Horizonte,MG - BHZ - Sul,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0.01428571429,0,0,0.1333333333,0.1,0.06666666667,0.03333333333,0,0
PE,Arequipa,PichuPichu Este,Non Wealthy,Prioritized,Gross Profit UE,0.5101905975,0.2643398218,0.1525844782,0.2172859361,-0.08052214218,-0.277207258,-0.1513957692,0.1457362037,-0.9114282252
CL,Santiago De Chile,La Florida San Joaquin,Non Wealthy,High Priority,Retail SST > SS CVR,0.8492068173,0.8500368196,0.8583977742,0.8573825323,0.8570293541,0.8477373881,0.8457863926,0.860871249,0.8647450937
BR,Maceio,AL - MCZ - Maceió,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8835602016,0.871279769,0.8301592615,0.848668182,0.8622189883,0.8909869882,0.8875787407,0.9100635086,0.9067609967
MX,Leon,LEO_Sur,Non Wealthy,Prioritized,Retail SST > SS CVR,0.861621884,0.8669846306,0.8786367333,0.8824349797,0.8771947936,0.8750813546,0.8767983446,0.8823449751,0.8809239662
EC,Quito,Pusuqui,Non Wealthy,Not Prioritized,Gross Profit UE,-0.2113355408,-0.7158685777,-1.413001137,-1.651021201,-1.386085873,-0.9374126653,-1.549889061,-2.425924007,-1.299596504
CO,Medellin,Manrique_central,Non Wealthy,Prioritized,Gross Profit UE,1.957695605,1.886144603,2.028241083,2.087429014,2.308473696,2.582322554,2.677008277,2.790865534,2.496109615
AR,Mendoza,GRAN_MENDOZA_SUR,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8551207836,0.8289407254,0.8199204145,0.8263530664,0.8119003471,0.8334396072,0.8204071306,0.821137862,0.8174414537
MX,San Luis Potosi,SLP_Soledad,Non Wealthy,Prioritized,Gross Profit UE,0.1713140416,0.2646159141,-0.1776890685,0.2356712004,0.7085388684,0.8167752007,1.316000954,1.573790993,1.285126199
BR,Recife,PE - JbG - Prazeres,Non Wealthy,Not Prioritized,Gross Profit UE,-3.220875878,-3.036647021,-2.876557647,-3.379734785,-3.19352877,-1.396862521,-0.05824241245,-0.7708457963,-0.539013308
BR,Santos,DOM Canto do Forte PRG,Non Wealthy,Not Prioritized,Gross Profit UE,-2.026279348,-2.99960237,-2.269125568,-2.017143633,-1.742199694,0.1240634243,-0.1740666386,-0.9583066044,0.3568298534
BR,Salvador,BA - SSA - Barra / Ondina,Non Wealthy,Not Prioritized,Gross Profit UE,-5.114619235,-8.583089143,-10.19245291,-6.94292963,-5.088463991,-5.834948982,-5.975239334,-4.536825005,-4.035092975
PE,Trujillo,La Esperanza,Non Wealthy,Prioritized,Gross Profit UE,0.4783233612,0.1288027798,0.03710871094,0.1619983218,-0.1908980254,-0.4145798468,-0.5100677305,-0.4483511145,-1.251135182
MX,Uruapan,Uruapan,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8342963883,0.8448710864,0.8535654307,0.860500305,0.8519666588,0.8445778842,0.8547370349,0.8709228146,0.8656460165
BR,Rio De Janeiro,Cachambi,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9023489814,0.9068330551,0.9142200563,0.9135209135,0.9022364154,0.9026645426,0.9026439285,0.9029925064,0.8969883821
CO,Bogota,Colina,Wealthy,Prioritized,Gross Profit UE,2.752744357,2.82325774,2.970630122,3.04905063,3.095946113,3.246268858,3.303670586,3.394571645,2.917018018
AR,Salta,Salta_Tres_Cerritos,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9142275843,0.9173019146,0.9133491616,0.9088343552,0.9125081872,0.9135023972,0.9153421608,0.9194581444,0.9218635581
MX,Xalapa,Xalapa Bugambilias,Wealthy,Prioritized,Retail SST > SS CVR,0.907597664,0.914268105,0.9213533874,0.9280937608,0.9256802582,0.9214185697,0.9212591919,0.9244433353,0.9178138667
AR,Cordoba,CORDOBA_COLON,Non Wealthy,Prioritized,Retail SST > SS CVR,0.9020599648,0.9016465792,0.895668489,0.8977117631,0.9005440398,0.9016672019,0.9095603666,0.9038881494,0.8978417678
MX,Monterrey,San Nicolás,Wealthy,High Priority,Gross Profit UE,1.039625156,0.929801634,0.6922478256,0.5754942725,0.6401717812,0.4020692296,0.6164303102,1.372904561,1.451167156
MX,Tlaxcala,TLX San Gabriel Cuauhtla,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8618029745,0.8764721437,0.8849614861,0.8771539444,0.8674798088,0.8552609608,0.8771669361,0.8660517135,0.8367418143
MX,Tapachula,Tapachula,Non Wealthy,Not Prioritized,Gross Profit UE,2.114807105,1.886557572,1.729346391,1.714976617,-17.49319627,-29.55395237,-34.39131641,-31.69463253,-19.84582687
MX,Garcia,GAR Los nogales,Non Wealthy,Not Prioritized,Gross Profit UE,2.110903412,1.827700727,1.434252592,1.760905491,-4.636605071,-5.368253232,-0.6752840845,1.749514434,1.508098251
EC,Quito,Sur - este,Non Wealthy,Not Prioritized,Gross Profit UE,0.1589685331,-0.3142107208,-0.4941861046,-0.5837026118,-0.9569150792,-1.485280242,-2.004290663,-1.236899533,0.1450209285
PE,Lima,San Borja,Wealthy,Prioritized,Gross Profit UE,3.393350942,3.091327832,2.990893673,3.174717215,3.102563658,3.020162666,3.080103068,3.250499704,2.340620371
AR,Rio Cuarto,RIO_CUARTO,Non Wealthy,Not Prioritized,Gross Profit UE,-1.826650945,-1.300132789,-0.8767819176,-0.6711774298,-0.2226472405,-0.3803066691,-0.5208987206,-0.5638626153,-1.039363069
MX,San Luis Potosi,SLP_Morales_Saucito,Non Wealthy,Prioritized,Gross Profit UE,0.8337817452,0.4933738152,0.2731513533,0.6686156936,1.231557623,1.693478197,2.057446358,2.106186523,1.638909266
CR,San Jose,Santa Barbara,Non Wealthy,Not Prioritized,Gross Profit UE,-4.087187043,-10.56491893,-11.88379952,-9.798100594,-16.42017035,-16.070004,-7.611448846,-1.85005181,-8.211029244
PE,Arequipa,Paucarpata,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8768147362,0.8882970648,0.892436674,0.8943319886,0.8923051764,0.8806567393,0.8815222345,0.8903317615,0.8803666324
CR,Alajuela,ALJ Ciruelas,Non Wealthy,Not Prioritized,% PRO Users Who Breakeven,0,0,0,0,0,0,0,0,0
BR,Rio De Janeiro,Rio das Pedras,Wealthy,Not Prioritized,Gross Profit UE,-1.472633389,-1.932999375,-1.72036951,-0.5532869729,0.010127134,0.09261872393,0.2297127387,0.7643941442,1.537048828
CL,Rancagua,Rancagua Centro,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8454011547,0.8303382844,0.8093747625,0.8084373768,0.7918923724,0.7678729754,0.7711443976,0.7959610439,0.7992216698
CO,Barranquilla,Malambo,Non Wealthy,Not Prioritized,Gross Profit UE,-0.3370874406,0.5560316579,1.105199803,1.276196754,3.516408462,2.803929383,1.393947078,0.1414551825,0.338568417
BR,Rio De Janeiro,Sao Cristovao,Non Wealthy,Not Prioritized,Gross Profit UE,-0.7346928829,-1.220797267,-0.9208110059,-0.4799407786,0.1833117308,0.34997123,0.9344500439,1.192006657,1.380812711
MX,Cuauhtemoc,CMO Zona Centro,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0,0,0,0,0,0,0,0,0
MX,Queretaro,QRO_REFUGIO_ZIBATA,Non Wealthy,Prioritized,Retail SST > SS CVR,0.9175149378,0.9254308693,0.9285139316,0.9346170138,0.9308967151,0.9202380759,0.9248942964,0.9313853403,0.9397252986
MX,Morelia,MOR_Itzicuaro,Non Wealthy,Prioritized,Gross Profit UE,-0.02368261775,-0.04826577488,0.05599870883,0.1101006977,0.9896604884,1.910525317,2.446121082,2.766233726,2.188870084
CO,Ibague,Jardin,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8988259344,0.9078460127,0.9066181172,0.9116286314,0.9051163023,0.9071290763,0.8973313738,0.902985331,0.9092008533
CO,Buga,Buga,Non Wealthy,Not Prioritized,Gross Profit UE,1.700124353,1.662005424,1.439283533,1.567018941,2.073360291,2.320866308,2.282279432,2.490851005,2.625631112
BR,Recife,PE - JbG - Guararapes,Non Wealthy,Not Prioritized,Gross Profit UE,-1.705894551,-2.490662994,-2.8401633,-1.32189947,-0.8402575475,-0.8182988463,0.2613621726,1.542700064,0.1181391692
CO,Cartagena,La siriaca,Wealthy,Prioritized,Gross Profit UE,2.622714742,2.866116767,2.936771665,2.856114721,2.957978418,2.95232916,2.926591448,3.07022894,3.253306043
